2022-09-15 21:58:54, INFO: Using device: cpu
2022-09-15 21:58:54, INFO: human number: 5
2022-09-15 21:58:54, INFO: Not randomize human's radius and preferred speed
2022-09-15 21:58:54, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2022-09-15 21:58:54, INFO: Square width: 10.0, circle width: 4.0
2022-09-15 21:59:22, INFO: episode:138, reward:-41.07, memory size:10997, time:24.25, info:Timeout
2022-09-15 21:59:22, INFO: episode:139, reward:-45.08, memory size:11090, time:23.25, info:Collision
2022-09-15 21:59:22, INFO: episode:140, reward:-52.71, memory size:11187, time:24.25, info:Timeout
2022-09-15 21:59:22, INFO: episode:141, reward:-41.79, memory size:11284, time:24.25, info:Timeout
2022-09-15 21:59:23, INFO: episode:142, reward:-30.37, memory size:11349, time:16.25, info:Collision
2022-09-15 21:59:23, INFO: episode:143, reward:-46.60, memory size:11446, time:24.25, info:Timeout
2022-09-15 21:59:23, INFO: episode:144, reward:-57.30, memory size:11543, time:24.25, info:Timeout
2022-09-15 21:59:24, INFO: episode:145, reward:-18.90, memory size:11571, time:7.0, info:Collision
2022-09-15 21:59:24, INFO: episode:146, reward:-52.40, memory size:11668, time:24.25, info:Timeout
2022-09-15 21:59:24, INFO: episode:147, reward:-51.24, memory size:11765, time:24.25, info:Timeout
2022-09-15 21:59:25, INFO: episode:148, reward:-36.72, memory size:11862, time:24.25, info:Timeout
2022-09-15 21:59:25, INFO: episode:149, reward:-46.19, memory size:11959, time:24.25, info:Timeout
2022-09-15 21:59:25, INFO: episode:150, reward:-36.25, memory size:12056, time:24.25, info:Timeout
2022-09-15 21:59:26, INFO: episode:151, reward:-26.55, memory size:12098, time:10.5, info:Collision
2022-09-15 21:59:26, INFO: episode:152, reward:-25.09, memory size:12138, time:10.0, info:Collision
2022-09-15 21:59:26, INFO: episode:153, reward:-10.18, memory size:12140, time:0.5, info:Collision
2022-09-15 21:59:27, INFO: episode:154, reward:-24.83, memory size:12177, time:9.25, info:Collision
2022-09-15 21:59:27, INFO: episode:155, reward:-43.09, memory size:12274, time:24.25, info:Timeout
2022-09-15 21:59:27, INFO: episode:156, reward:-31.03, memory size:12331, time:14.25, info:Collision
2022-09-15 21:59:28, INFO: episode:157, reward:-39.03, memory size:12428, time:24.25, info:Timeout
2022-09-15 21:59:28, INFO: episode:158, reward:-12.00, memory size:12433, time:1.25, info:Collision
