2023-05-13 07:18:41,801, INFO: TRAIN OurMulti in episode 64 has success rate: 0.00, collision rate: 1.00, nav time: 15.5, total reward: 13.097,V_MeanSquareError:1.2107,times:31
2023-05-13 07:18:55,670, INFO: TRAIN OurMulti in episode 65 has success rate: 0.00, collision rate: 1.00, nav time: 8.5, total reward: 22.42,V_MeanSquareError:0.9332,times:17
2023-05-13 07:19:15,800, INFO: TRAIN OurMulti in episode 66 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 20.72,V_MeanSquareError:1.1145,times:26
2023-05-13 07:19:31,356, INFO: TRAIN OurMulti in episode 67 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 21.226,V_MeanSquareError:1.1462,times:26
2023-05-13 07:19:50,978, INFO: TRAIN OurMulti in episode 68 has success rate: 0.00, collision rate: 1.00, nav time: 8.5, total reward: 21.99,V_MeanSquareError:1.1216,times:17
2023-05-13 07:20:11,130, INFO: TRAIN OurMulti in episode 69 has success rate: 0.00, collision rate: 1.00, nav time: 15.0, total reward: 12.024,V_MeanSquareError:1.0223,times:30
2023-05-13 07:20:29,871, INFO: TRAIN OurMulti in episode 70 has success rate: 0.00, collision rate: 1.00, nav time: 17.5, total reward: 19.241,V_MeanSquareError:1.0087,times:35
2023-05-13 07:20:44,892, INFO: TRAIN OurMulti in episode 71 has success rate: 0.00, collision rate: 1.00, nav time: 13.5, total reward: 12.375,V_MeanSquareError:1.2392,times:27
2023-05-13 07:21:03,916, INFO: TRAIN OurMulti in episode 72 has success rate: 0.00, collision rate: 1.00, nav time: 9.0, total reward: 22.824,V_MeanSquareError:0.9335,times:18
2023-05-13 07:21:21,818, INFO: TRAIN OurMulti in episode 73 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 23.435,V_MeanSquareError:1.1,times:100
2023-05-13 07:21:39,821, INFO: TRAIN OurMulti in episode 74 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 13.301,V_MeanSquareError:1.2573,times:100
2023-05-13 07:21:59,382, INFO: TRAIN OurMulti in episode 75 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 12.974,V_MeanSquareError:1.0523,times:100
2023-05-13 07:22:16,419, INFO: TRAIN OurMulti in episode 76 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 12.665,V_MeanSquareError:0.96,times:100
2023-05-13 07:22:34,896, INFO: TRAIN OurMulti in episode 77 has success rate: 0.00, collision rate: 1.00, nav time: 14.0, total reward: 21.337,V_MeanSquareError:1.072,times:28
2023-05-13 07:22:52,997, INFO: TRAIN OurMulti in episode 78 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 18.689,V_MeanSquareError:1.0044,times:29
2023-05-13 07:23:11,283, INFO: TRAIN OurMulti in episode 79 has success rate: 0.00, collision rate: 1.00, nav time: 14.0, total reward: 12.599,V_MeanSquareError:0.9549,times:28
2023-05-13 07:23:26,761, INFO: TRAIN OurMulti in episode 80 has success rate: 0.00, collision rate: 1.00, nav time: 10.5, total reward: 21.688,V_MeanSquareError:1.004,times:21
2023-05-13 07:23:44,721, INFO: TRAIN OurMulti in episode 81 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 12.081,V_MeanSquareError:1.2286,times:100
2023-05-13 07:24:05,254, INFO: TRAIN OurMulti in episode 82 has success rate: 0.00, collision rate: 1.00, nav time: 11.0, total reward: 18.655,V_MeanSquareError:1.1806,times:22
2023-05-13 07:24:19,682, INFO: TRAIN OurMulti in episode 83 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 12.045,V_MeanSquareError:1.2788,times:26
2023-05-13 07:24:42,035, INFO: TRAIN OurMulti in episode 84 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 19.356,V_MeanSquareError:1.1476,times:29
2023-05-13 07:24:55,051, INFO: TRAIN OurMulti in episode 85 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 16.405,V_MeanSquareError:1.1549,times:100
2023-05-13 07:25:15,266, INFO: TRAIN OurMulti in episode 86 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 23.519,V_MeanSquareError:0.9756,times:100
2023-05-13 07:25:32,064, INFO: TRAIN OurMulti in episode 87 has success rate: 0.00, collision rate: 1.00, nav time: 15.5, total reward: 16.087,V_MeanSquareError:1.0402,times:31
2023-05-13 07:25:54,383, INFO: TRAIN OurMulti in episode 88 has success rate: 0.00, collision rate: 1.00, nav time: 8.0, total reward: 22.036,V_MeanSquareError:1.1934,times:16
2023-05-13 07:26:07,697, INFO: TRAIN OurMulti in episode 89 has success rate: 0.00, collision rate: 1.00, nav time: 17.5, total reward: 18.146,V_MeanSquareError:1.0404,times:35
2023-05-13 07:26:28,829, INFO: TRAIN OurMulti in episode 90 has success rate: 0.00, collision rate: 1.00, nav time: 17.0, total reward: 23.204,V_MeanSquareError:1.1401,times:34
2023-05-13 07:26:44,276, INFO: TRAIN OurMulti in episode 91 has success rate: 0.00, collision rate: 1.00, nav time: 12.5, total reward: 19.95,V_MeanSquareError:1.0484,times:25
2023-05-13 07:27:06,391, INFO: TRAIN OurMulti in episode 92 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 14.577,V_MeanSquareError:1.0173,times:29
2023-05-13 07:27:20,663, INFO: TRAIN OurMulti in episode 93 has success rate: 0.00, collision rate: 1.00, nav time: 13.5, total reward: 13.747,V_MeanSquareError:0.974,times:27
